球员  国籍  年龄  身价（欧元）  所属俱乐部  位置 
伊万·斯莫尔契奇 (Ivan Smolčić)	克罗地亚	25岁	500万	科莫	后卫
卢卡·莫德里奇 (Luka Modrić)	克罗地亚	40岁	400万	AC米兰	中场
马特奥·科瓦契奇 (Mateo Kovačić)	克罗地亚	32岁	1200万	曼城	中场
马里奥·帕萨利奇 (Mario Pašalić)	克罗地亚	31岁	700万	亚特兰大	中场
尼古拉·弗拉希奇 (Nikola Vlašić)	克罗地亚	28岁	900万	都灵	中场
卢卡·苏契奇 (Luka Sučić)	克罗地亚	23岁	1000万	皇家社会	中场
马丁·巴图里纳 (Martin Baturina)	克罗地亚	23岁	2400万	科莫	中场
克里斯蒂扬·亚基奇 (Kristijan Jakić)	克罗地亚	29岁	600万	奥格斯堡	中场
佩塔尔·苏契奇 (Petar Sučić)	克罗地亚	22岁	3000万	国际米兰	中场
尼科拉·莫罗 (Nikola Moro)	克罗地亚	28岁	600万	博洛尼亚	中场
托尼·弗鲁克 (Toni Fruk)	克罗地亚	25岁	900万	里耶卡	中场
伊万·佩里西奇 (Ivan Perišić)	克罗地亚	37岁	130万	埃因霍温	前锋
安德雷·克拉马里奇 (Andrej Kramarić)	克罗地亚	34岁	300万	霍芬海姆	前锋
安特·布季米尔 (Ante Budimir)	克罗地亚	34岁	300万	奥萨苏纳	前锋
马尔科·帕萨利奇 (Marco Pašalić)	克罗地亚	25岁	650万	奥兰多城	前锋
佩塔尔·穆萨 (Petar Musa)	克罗地亚	28岁	800万	达拉斯FC	前锋
伊戈尔·马塔诺维奇 (Igor Matanović)	克罗地亚	23岁	1000万	弗赖堡	前锋
本杰明·阿萨雷 (Benjamin Asare)	加纳	32岁	65万	阿克拉橡树之心	门将
劳伦斯·阿蒂-齐吉 (Lawrence Ati-Zigi)	加纳	29岁	260万	圣加仑	门将
约瑟夫·阿南 (Joseph Anang)	加纳	25岁	45万	圣帕特里克竞技	门将
巴巴·阿卜杜勒·拉赫曼 (Baba Abdul Rahman)	加纳	31岁	150万	PAOK	后卫
德里克·卢卡森 (Derrick Luckassen)	加纳	30岁	100万	帕福斯	后卫
吉迪恩·门萨 (Gideon Mensah)	加纳	27岁	300万	欧塞尔	后卫
马尔文·塞纳亚 (Marvin Senaya)	加纳	25岁	200万	欧塞尔	后卫
阿利杜·塞杜 (Alidu Seidu)	加纳	25岁	400万	雷恩	后卫
阿卜杜勒·穆明 (Abdul Mumin)	加纳	27岁	300万	巴列卡诺	后卫
杰罗姆·奥波库 (Jerome Opoku)	加纳	27岁	250万	伊斯坦布尔巴萨克赛尔	后卫
乔纳斯·阿杰泰 (Jonas Adjetey)	加纳	22岁	500万	沃尔夫斯堡	后卫
科乔·奥蓬·佩普拉 (Kojo Oppong Peprah)	加纳	22岁	350万	尼斯	后卫
托马斯·帕尔特伊 (Thomas Partey)	加纳	32岁	1500万	比利亚雷亚尔	中场
卡马尔丁·苏莱曼纳 (Kamaldeen Sulemana)	加纳	24岁	1200万	亚特兰大	中场
夸西·西博 (Kwasi Sibo)	加纳	27岁	150万	皇家奥维耶多	中场
奥古斯丁·博阿基耶 (Augustine Boakye)	加纳	25岁	300万	圣埃蒂安	中场
卡莱布·耶伦基 (Caleb Yirenkyi)	加纳	20岁	500万	北西兰	中场
阿卜杜勒·法塔武·伊萨哈库 (Abdul Fatawu Issahaku)	加纳	22岁	800万	莱斯特城	中场
埃利沙·奥乌苏 (Elisha Owusu)	加纳	28岁	200万	欧塞尔	中场
克里斯托弗·邦苏·巴 (Christopher Bonsu Baah)	加纳	21岁	600万	卡迪西亚	前锋
埃内斯特·努阿马 (Ernest Nuamah)	加纳	22岁	1500万	里昂	前锋
安托万·塞门约 (Antoine Semenyo)	加纳	26岁	7200万	曼城	前锋
布兰登·托马斯-阿桑特 (Brandon Thomas-Asante)	加纳	27岁	500万	考文垂	前锋
普林斯·夸贝纳·阿杜 (Prince Kwabena Adu)	加纳	22岁	300万	比尔森胜利	前锋
伊尼亚基·威廉姆斯 (Iñaki Williams)	加纳	31岁	2000万	毕尔巴鄂竞技	前锋
乔丹·阿尤 (Jordan Ayew)	加纳	34岁	300万	莱斯特城	前锋
奥兰多·莫斯克拉 (Orlando Mosquera)	巴拿马	30岁	65万	费哈	门将
路易斯·梅希亚 (Luis Mejía)	巴拿马	35岁	40万	民族	门将
塞萨尔·萨穆迪奥 (César Samudio)	巴拿马	32岁	30万	马拉松	门将
塞萨尔·布莱克曼 (César Blackman)	巴拿马	28岁	80万	萨普里萨	后卫
豪尔赫·古铁雷斯 (Jorge Gutiérrez)	巴拿马	27岁	50万	皇家盐湖城	后卫
阿米尔·穆里略 (Amir Murillo)	巴拿马	30岁	700万	贝西克塔斯	后卫
菲德尔·埃斯科瓦尔 (Fidel Escobar)	巴拿马	31岁	60万	萨普里萨	后卫
安德烈斯·安德拉德 (Andrés Andrade)	巴拿马	28岁	80万	阿利亚萨	后卫
埃德加多·法里尼亚 (Edgardo Fariña)	巴拿马	24岁	70万	圣米格利托	后卫
何塞·科尔多瓦 (José Córdoba)	巴拿马	24岁	120万	诺维奇	后卫
埃里克·戴维斯 (Eric Davis)	巴拿马	35岁	40万	科布雷萨尔	后卫
希奥瓦尼·拉莫斯 (Jiovany Ramos)	巴拿马	28岁	50万	阿卡德米亚	后卫
罗德里克·米勒 (Roderick Miller)	巴拿马	34岁	30万	图兰	后卫
阿尼瓦尔·戈多伊 (Aníbal Godoy)	巴拿马	36岁	50万	纳什维尔	中场
阿达尔韦托·卡拉斯基亚 (Adalberto Carrasquilla)	巴拿马	27岁	300万	休斯敦迪纳摩	中场
卡洛斯·哈维 (Carlos Harvey)	巴拿马	26岁	100万	明尼苏达联	中场
克里斯蒂安·马丁内斯 (Cristian Martínez)	巴拿马	29岁	80万	圣卡洛斯	中场
何塞·路易斯·罗德里格斯 (José Luis Rodríguez)	巴拿马	28岁	150万	华雷斯	中场
塞萨尔·亚尼斯 (César Yanis)	巴拿马	30岁	70万	科布雷萨尔	中场
约埃尔·巴塞纳斯 (Yoel Bárcenas)	巴拿马	32岁	120万	马萨特兰	中场
阿尔韦托·金特罗 (Alberto Quintero)	巴拿马	38岁	30万	联盟	中场
阿萨里亚斯·隆多尼奥 (Azarías Londoño)	巴拿马	25岁	60万	圣米格利托	中场
伊斯梅尔·迪亚斯 (Ismael Díaz)	巴拿马	29岁	100万	卡塔戈	前锋
塞西利奥·沃特曼 (Cecilio Waterman)	巴拿马	35岁	40万	科布雷萨尔	前锋
何塞·法哈尔多 (José Fajardo)	巴拿马	32岁	70万	卡塔戈	前锋
托马斯·罗德里格斯 (Tomás Rodríguez)	巴拿马	26岁	60万	圣米格利托	前锋
蒂博·库尔图瓦 (Thibaut Courtois)	比利时	34岁	1800万	皇家马德里	门将
森内·拉门斯 (Senne Lammens)	比利时	24岁	3500万	曼联	门将
迈克·彭德斯 (Mike Penders)	比利时	21岁	2410万	斯特拉斯堡（切尔西租借）	门将
蒂莫西·卡斯塔涅 (Timothy Castagne)	比利时	30岁	1000万	富勒姆	后卫
泽诺·德巴斯特 (Zeno Debast)	比利时	22岁	3000万	葡萄牙体育	后卫
马克西姆·德克伊珀 (Maxim De Cuyper)	比利时	25岁	2200万	布莱顿	后卫
柯尼·德温特 (Koni De Winter)	比利时	23岁	2300万	AC米兰	后卫
布兰东·梅赫莱 (Brandon Mechele)	比利时	33岁	350万	布鲁日	后卫
托马斯·默尼耶 (Thomas Meunier)	比利时	34岁	200万	里尔	后卫
内森·恩戈伊 (Nathan Ngoy)	比利时	23岁	2000万	里尔	后卫
若阿金·塞 (Joaquin Seys)	比利时	21岁	1700万	布鲁日	后卫
阿蒂尔·蒂特 (Arthur Theate)	比利时	26岁	1700万	法兰克福	后卫
凯文·德布劳内 (Kevin De Bruyne)	比利时	35岁	800万	那不勒斯	中场
阿马杜·奥纳纳 (Amadou Onana)	比利时	24岁	4500万	阿斯顿维拉	中场
尼古拉·拉斯金 (Nicolas Raskin)	比利时	25岁	1200万	格拉斯哥流浪者	中场
尤里·蒂勒曼斯 (Youri Tielemans)	比利时	29岁	3500万	阿斯顿维拉	中场
汉斯·范纳肯 (Hans Vanaken)	比利时	33岁	400万	布鲁日	中场
阿克塞尔·维特塞尔 (Axel Witsel)	比利时	37岁	200万	赫罗纳	中场
查尔斯·德凯特拉雷 (Charles De Ketelaere)	比利时	25岁	3500万	亚特兰大	前锋
杰里米·多库 (Jérémy Doku)	比利时	24岁	7500万	曼城	前锋
马蒂亚斯·费尔南德斯-帕尔多 (Matias Fernandez-Pardo)	比利时	21岁	3500万	里尔	前锋
罗梅卢·卢卡库 (Romelu Lukaku)	比利时	33岁	1200万	那不勒斯	前锋
多迪·卢克巴吉奥 (Dodi Lukebakio)	比利时	28岁	2000万	本菲卡	前锋
迭戈·莫雷拉 (Diego Moreira)	比利时	22岁	2500万	斯特拉斯堡	前锋
亚历克西斯·萨勒马克尔斯 (Alexis Saelemaekers)	比利时	26岁	2500万	AC米兰	前锋
莱安德罗·特罗萨德 (Leandro Trossard)	比利时	31岁	1800万	阿森纳	前锋
穆罕默德·希纳维 (Mohamed El Shenawy)	埃及	37岁	50万	开罗国民	门将
穆斯塔法·舒贝尔 (Mostafa Shobeir)	埃及	26岁	120万	开罗国民	门将
马赫迪·苏莱曼 (El Mahdi Soliman)	埃及	39岁	15万	艾德瀚德	门将
穆罕默德·阿拉 (Mohamed Alaa)	埃及	27岁	120万	古纳	门将
穆罕默德·哈尼 (Mohamed Hany)	埃及	30岁	150万	开罗国民	后卫
塔里克·阿拉 (Tarek Alaa)	埃及	24岁	20万	ZED FC	后卫
哈姆迪·法特希 (Hamdy Fathy)	埃及	32岁	220万	沃克拉	后卫
拉米·拉比亚 (Rami Rabia)	埃及	33岁	80万	阿联酋阿尔艾因	后卫
亚西尔·易卜拉欣 (Yasser Ibrahim)	埃及	33岁	40万	开罗国民	后卫
侯萨姆·阿卜杜勒马吉德 (Hossam Abdelmaguid)	埃及	25岁	180万	扎马雷克体育	后卫
穆罕默德·阿卜杜勒穆奈姆 (Mohamed Abdelmonem)	埃及	26岁	350万	尼斯	后卫
艾哈迈德·法托 (Ahmed Fatouh)	埃及	28岁	100万	扎马雷克体育	后卫
卡里姆·哈菲兹 (Karim Hafez)	埃及	30岁	70万	金字塔	后卫
马尔万·阿提亚 (Marwan Attia)	埃及	27岁	400万	开罗国民	中场
穆哈纳德·拉欣 (Mohanad Lasheen)	埃及	30岁	120万	金字塔	中场
纳比勒·伊马德 (Nabil Emad)	埃及	30岁	50万	阿尔纳杰马	中场
马哈茂德·萨比尔 (Mahmoud Saber)	埃及	25岁	80万	ZED FC	中场
艾哈迈德·齐佐 (Ahmed Zizo)	埃及	30岁	350万	开罗国民	中场
伊马姆·阿舒尔 (Emam Ashour)	埃及	28岁	400万	开罗国民	中场
穆斯塔法·齐科 (Mostafa Ziko)	埃及	29岁	88万	金字塔	中场
马哈茂德·特雷泽盖 (Mahmoud Trezeguet)	埃及	32岁	450万	开罗国民	中场
易卜拉欣·阿德尔 (Ibrahim Adel)	埃及	25岁	390万	北西兰	中场
海萨姆·哈桑 (Haissam Hassan)	埃及	24岁	400万	皇家奥维耶多	中场
穆罕默德·萨拉赫 (Mohamed Salah)	埃及	33岁	3000万	利物浦	前锋
奥马尔·马尔穆什 (Omar Marmoush)	埃及	27岁	5000万	曼城	前锋
哈姆扎·阿卜杜勒卡里姆 (Hamza Abdelkarim)	埃及	18岁	150万	巴塞罗那竞技	前锋
阿里雷萨·贝兰万德 (Alireza Beiranvand)	伊朗	33岁	65万	大不里士拖拉机	门将
侯赛因·侯赛尼 (Hossein Hosseini)	伊朗	33岁	50万	塞帕罕	门将
帕亚姆·尼亚曼德 (Payam Niamand)	伊朗	30岁	70万	波斯波利斯	门将
达尼亚尔·埃里 (Daniyal Esmaeilifar)	伊朗	30岁	100万	马拉皖	后卫
哈吉萨菲 (Ehsan Hajsafi)	伊朗	36岁	25万	塞帕罕	后卫
萨利赫·哈达尼 (Saleh Hardani)	伊朗	27岁	80万	德黑兰独立	后卫
侯赛因·卡纳尼 (Hossein Kanaanizadegan)	伊朗	32岁	160万	波斯波利斯	后卫
舒贾·哈利勒扎德 (Shoja Khalilzadeh)	伊朗	37岁	10万	大不里士拖拉机	后卫
米拉德·穆罕默迪 (Milad Mohammadi)	伊朗	32岁	90万	波斯波利斯	后卫
阿里·内马蒂 (Ali Nemati)	伊朗	30岁	55万	胡齐斯坦钢铁	后卫
拉明·雷扎伊扬 (Ramin Rezaeian)	伊朗	36岁	25万	胡齐斯坦钢铁	后卫
鲁兹贝·切什米 (Rouzbeh Cheshmi)	伊朗	32岁	45万	德黑兰独立	中场
赛义德·埃扎托拉希 (Saeid Ezatolahi)	伊朗	29岁	180万	迪拜国民	中场
迈赫迪·加耶迪 (Mehdi Ghayedi)	伊朗	27岁	450万	迪拜纳斯尔	中场
萨曼·戈多斯 (Saman Ghoddos)	伊朗	32岁	120万	卡尔巴联合	中场
穆罕默德·戈尔巴尼 (Mohammad Ghorbani)	伊朗	25岁	120万	阿布扎比统一	中场
阿里雷扎·贾汉巴赫什 (Alireza Jahanbakhsh)	伊朗	32岁	60万	登德	中场
穆罕默德·莫赫比 (Mohammad Mohebi)	伊朗	28岁	250万	罗斯托夫	中场
阿米尔穆罕默德·拉扎格尼亚 (Amirmohammad Razaghinia)	伊朗	24岁	120万	德黑兰独立	中场
梅迪·托拉比 (Mehdi Torabi)	伊朗	31岁	120万	大不里士拖拉机	中场
阿丽亚·尤素菲 (Aria Yousefi)	伊朗	23岁	150万	塞帕罕	中场
阿里·阿利普尔 (Ali Alipour)	伊朗	30岁	170万	波斯波利斯	前锋
丹尼斯·埃克特 (Dennis Eckert)	伊朗	29岁	200万	标准列日	前锋
阿米尔侯赛因·侯赛因扎德 (Amirhossein Hosseinzadeh)	伊朗	25岁	220万	大不里士拖拉机	前锋
梅赫迪·塔雷米 (Mehdi Taremi)	伊朗	33岁	250万	奥林匹亚科斯	前锋
沙赫里亚尔·莫汉卢 (Shahriyar Moghanlou)	伊朗	31岁	80万	卡尔巴联合	前锋
马克斯·克罗科姆 (Max Crocombe)	新西兰	32岁	75万	米尔沃尔	门将
亚历克斯·保尔森 (Alex Paulsen)	新西兰	23岁	230万	格但斯克莱希亚	门将
迈克尔·沃德 (Michael Woud)	新西兰	27岁	30万	奥克兰FC	门将
蒂姆·佩恩 (Tim Payne)	新西兰	32岁	41万	惠灵顿凤凰	后卫
弗朗西斯·德弗里斯 (Francis de Vries)	新西兰	31岁	140万	奥克兰FC	后卫
泰勒·宾登 (Tyler Bindon)	新西兰	21岁	350万	谢菲尔德联	后卫
米切尔·伯克萨尔 (Michael Boxall)	新西兰	37岁	33万	明尼苏达联	后卫
利贝拉托·卡卡塞 (Liberato Cacace)	新西兰	25岁	310万	雷克瑟姆	后卫
南多·派纳克 (Nando Pijnaker)	新西兰	27岁	40万	奥克兰FC	后卫
芬恩·苏尔曼 (Finn Surman)	新西兰	22岁	150万	波特兰伐木工	后卫
本·奥尔德 (Ben Old)	新西兰	23岁	180万	圣埃蒂安	后卫
卡兰·埃利奥特 (Callan Elliot)	新西兰	26岁	50万	奥克兰FC	后卫
汤米·史密斯 (Tommy Smith)	新西兰	36岁	10万	布伦特里	后卫
乔·贝尔 (Joe Bell)	新西兰	27岁	300万	维京	中场
马修·加伯特 (Matt Garbett)	新西兰	23岁	55万	彼得堡联	中场
马尔科·斯特梅克 (Marko Stamenic)	新西兰	24岁	260万	斯旺西	中场
萨普里特·辛格 (Sarpreet Singh)	新西兰	27岁	50万	惠灵顿凤凰	中场
亚历克斯·鲁费 (Alex Rufer)	新西兰	30岁	60万	惠灵顿凤凰	中场
卡勒姆·麦考瓦特 (Callum McCowatt)	新西兰	27岁	160万	锡尔克堡	中场
瑞安·托马斯 (Ryan Thomas)	新西兰	31岁	73万	兹沃勒	中场
拉克兰·贝利斯 (Lachlan Bayliss)	新西兰	23岁	55万	纽卡斯尔喷气机	中场
克里斯·伍德 (Chris Wood)	新西兰	34岁	800万	诺丁汉森林	前锋
伊利亚·贾斯特 (Eli Just)	新西兰	26岁	250万	马瑟韦尔	前锋
科斯塔·巴巴洛塞斯 (Kosta Barbarouses)	新西兰	36岁	33万	西悉尼流浪者	前锋
本·韦恩 (Ben Waine)	新西兰	25岁	40万	维尔港	前锋
杰西·兰德尔 (Jesse Randall)	新西兰	—	—	奥克兰FC	前锋
乌奈·西蒙 (Unai Simón)	西班牙	29岁	3500万	毕尔巴鄂竞技	门将
大卫·拉亚 (David Raya)	西班牙	30岁	3500万	阿森纳	门将
霍安·加西亚 (Joan García)	西班牙	25岁	1500万	巴塞罗那	门将
佩德罗·波罗 (Pedro Porro)	西班牙	26岁	4500万	托特纳姆热刺	后卫
马科斯·略伦特 (Marcos Llorente)	西班牙	31岁	2000万	马德里竞技	后卫
保·库巴西 (Pau Cubarsí)	西班牙	19岁	7000万	巴塞罗那	后卫
普维尔 (Javier Puado)	西班牙	28岁	1000万	马德里竞技	后卫
拉波尔特 (Aymeric Laporte)	西班牙	32岁	2500万	毕尔巴鄂竞技	后卫
埃里克·加西亚 (Eric García)	西班牙	25岁	2000万	巴塞罗那	后卫
亚历杭德罗·格里马尔多 (Alejandro Grimaldo)	西班牙	30岁	3500万	勒沃库森	后卫
马克·库库雷利亚 (Marc Cucurella)	西班牙	27岁	3000万	切尔西	后卫
罗德里 (Rodri)	西班牙	30岁	1.3亿	曼城	中场
马丁·苏维门迪 (Martín Zubimendi)	西班牙	27岁	6000万	阿森纳	中场
加维 (Gavi)	西班牙	21岁	8000万	巴塞罗那	中场
佩德里 (Pedri)	西班牙	23岁	1亿	巴塞罗那	中场
法比安·鲁伊斯 (Fabián Ruiz)	西班牙	30岁	3500万	巴黎圣日耳曼	中场
米克尔·梅里诺 (Mikel Merino)	西班牙	29岁	5000万	阿森纳	中场
亚历克斯·巴埃纳 (Álex Baena)	西班牙	24岁	3000万	马德里竞技	中场
拉明·亚马尔 (Lamine Yamal)	西班牙	18岁	1.8亿	巴塞罗那	前锋
达尼·奥尔莫 (Dani Olmo)	西班牙	28岁	6000万	巴塞罗那	前锋
费兰·托雷斯 (Ferran Torres)	西班牙	26岁	3500万	巴塞罗那	前锋
耶雷米·皮诺 (Yeremy Pino)	西班牙	23岁	4000万	水晶宫	前锋
尼科·威廉姆斯 (Nico Williams)	西班牙	23岁	6000万	毕尔巴鄂竞技	前锋
维克托·穆尼奥斯 (Víctor Muñoz)	西班牙	25岁	1500万	奥萨苏纳	前锋
米克尔·奥亚萨瓦尔 (Mikel Oyarzabal)	西班牙	29岁	4500万	皇家社会	前锋
博尔哈·伊格莱西亚斯 (Borja Iglesias)	西班牙	33岁	800万	塞尔塔	前锋
沃齐尼亚 (Vozinha)	佛得角	39岁	50万	沙维什	门将
马尔西奥·罗萨 (Márcio Rosa)	佛得角	29岁	30万	蒙大拿	门将
C.J.·多斯桑托斯 (CJ dos Santos)	佛得角	25岁	80万	圣地亚哥FC	门将
史蒂文·莫雷拉 (Steven Moreira)	佛得角	31岁	150万	哥伦布机员	后卫
瓦格纳·皮纳 (Wagner Pina)	佛得角	28岁	80万	特拉布宗体育	后卫
若昂·保罗 (João Paulo)	佛得角	30岁	60万	FCSB	后卫
西德尼·洛佩斯·卡布拉尔 (Sidny Lopes Cabral)	佛得角	24岁	100万	本菲卡	后卫
洛根·科斯塔 (Logan Costa)	佛得角	25岁	1200万	比利亚雷亚尔	后卫
皮科·洛佩斯 (Pico Lopes)	佛得角	36岁	20万	沙姆洛克流浪者	后卫
凯尔文·皮雷斯 (Kelvin Pires)	佛得角	26岁	60万	SJK塞伊奈约基	后卫
斯托皮拉 (Stopira)	佛得角	37岁	20万	托雷恩斯	后卫
迪内伊 (Diney)	佛得角	28岁	50万	阿尔巴塔赫	后卫
雅米罗·蒙泰罗 (Jamiro Monteiro)	佛得角	32岁	200万	PEC兹沃勒	中场
特尔莫·阿尔卡若 (Telmo Arcanjo)	佛得角	24岁	100万	吉马良斯	中场
亚尼克·塞梅多 (Yannick Semedo)	佛得角	23岁	80万	法伦斯	中场
拉罗斯·杜阿尔特 (Laros Duarte)	佛得角	29岁	150万	普斯卡什学院	中场
德罗伊·杜阿尔特 (Deroy Duarte)	佛得角	26岁	200万	卢多戈雷茨	中场
凯文·皮纳 (Kevin Pina)	佛得角	29岁	120万	克拉斯诺达尔	中场
瑞安·门德斯 (Ryan Mendes)	佛得角	36岁	40万	伊迪尔	前锋
威利·塞梅多 (Willy Semedo)	佛得角	32岁	60万	奥莫尼亚尼科西亚	前锋
加里·罗德里格斯 (Garry Rodrigues)	佛得角	35岁	50万	阿波罗利马索尔	前锋
若瓦内·卡布拉尔 (Jovane Cabral)	佛得角	27岁	250万	埃什特雷拉	前锋
努诺·达科斯塔 (Nuno da Costa)	佛得角	35岁	40万	伊斯坦布尔巴萨克赛尔	前锋
戴隆·利夫拉门托 (Dailon Livramento)	佛得角	24岁	150万	卡萨皮亚	前锋
吉尔森·本希莫尔 (Gilson Benchimol)	佛得角	24岁	60万	阿克伦托格里蒂	前锋
埃利奥·瓦雷拉 (Hélio Varela)	佛得角	24岁	80万	特拉维夫马卡比	前锋
艾哈迈德·卡萨尔 (Ahmed Al-Kassar)	沙特阿拉伯	30岁	17.5万	胡拜尔库迪西亚	门将
穆罕默德·阿洛瓦伊斯 (Mohammed Al-Owais)	沙特阿拉伯	34岁	30万	利雅得新月	门将
纳瓦夫·阿奇迪 (Nawaf Al-Aqidi)	沙特阿拉伯	26岁	70万	利雅得胜利	门将
沙特·阿卜杜勒哈米德 (Saud Abdulhamid)	沙特阿拉伯	26岁	900万	朗斯	后卫
哈桑·坦巴克蒂 (Hassan Tambakti)	沙特阿拉伯	27岁	180万	利雅得新月	后卫
阿卜杜勒拉·阿姆里 (Abdulelah Al-Amri)	沙特阿拉伯	29岁	100万	利雅得胜利	后卫
阿里·拉贾米 (Ali Lajami)	沙特阿拉伯	30岁	80万	利雅得新月	后卫
哈桑·卡迪什 (Hassan Kadesh)	沙特阿拉伯	33岁	30万	吉达联合	后卫
穆特卜·哈尔比 (Mutab Al-Harbi)	沙特阿拉伯	26岁	120万	利雅得新月	后卫
艾哈迈德·塔克里 (Ahmed Thakri)	沙特阿拉伯	25岁	90万	胡拜尔库迪西亚	后卫
阿卜杜勒拉赫曼·加里卜 (Abdulrahman Ghareeb)	沙特阿拉伯	29岁	120万	利雅得胜利	中场
阿卜杜勒拉·马尔基 (Abdullah Al-Malki)	沙特阿拉伯	31岁	120万	吉达国民	中场
穆罕默德·卡努 (Mohamed Kanno)	沙特阿拉伯	31岁	90万	利雅得新月	中场
阿卜杜勒拉·哈巴利 (Abdullah Al-Khaibari)	沙特阿拉伯	29岁	80万	利雅得胜利	中场
阿里·阿尔·哈桑 (Ali Al-Hassan)	沙特阿拉伯	29岁	80万	利雅得胜利	中场
纳赛尔·多萨里 (Nasser Al-Dawsari)	沙特阿拉伯	27岁	80万	利雅得新月	中场
艾曼·法拉塔赫 (Ayman Fallatah)	沙特阿拉伯	26岁	80万	胡拜尔库迪西亚	中场
穆萨卜·朱瓦伊尔 (Musab Al-Juwair)	沙特阿拉伯	22岁	450万	胡拜尔库迪西亚	前锋
菲拉斯·布赖坎 (Firas Al-Buraikan)	沙特阿拉伯	26岁	400万	吉达国民	前锋
阿卜杜拉·叶海亚 (Abdullah Yahya)	沙特阿拉伯	25岁	140万	利雅得胜利	前锋
萨利姆·多萨里 (Salem Al-Dawsari)	沙特阿拉伯	34岁	130万	利雅得新月	前锋
穆罕默德·加纳姆 (Mohammed Al-Ghanam)	沙特阿拉伯	29岁	90万	达曼协作	前锋
萨利赫·谢赫里 (Saleh Al-Shehri)	沙特阿拉伯	32岁	55万	吉达联合	前锋
阿卜杜拉·哈姆丹 (Abdullah Al-Hamdan)	沙特阿拉伯	26岁	32.5万	利雅得胜利	前锋
艾曼·赫吉 (Ayman Hejji)	沙特阿拉伯	25岁	15万	新未来城	前锋
哈立德·加纳姆 (Khalid Al-Ghanam)	沙特阿拉伯	25岁	90万	达曼协作	前锋
塞尔吉奥·罗切特 (Sergio Rochet)	乌拉圭	33岁	250万	巴西国际	门将
费尔南多·穆斯莱拉 (Fernando Muslera)	乌拉圭	39岁	50万	拉普拉塔大学生	门将
圣地亚哥·梅莱 (Santiago Mele)	乌拉圭	28岁	200万	蒙特雷	门将
吉列尔莫·巴雷拉 (Guillermo Varela)	乌拉圭	33岁	150万	弗拉门戈	后卫
罗纳德·阿劳霍 (Ronald Araujo)	乌拉圭	27岁	7000万	巴塞罗那	后卫
何塞·马里亚·希门尼斯 (José María Giménez)	乌拉圭	31岁	2000万	马德里竞技	后卫
圣地亚哥·布埃诺 (Santiago Bueno)	乌拉圭	27岁	800万	狼队	后卫
塞瓦斯蒂安·卡塞雷斯 (Sebastián Cáceres)	乌拉圭	26岁	400万	墨西哥美洲	后卫
马蒂亚斯·奥利维拉 (Mathías Olivera)	乌拉圭	28岁	1500万	那不勒斯	后卫
华金·皮克雷斯 (Joaquín Piquerez)	乌拉圭	27岁	1200万	帕尔梅拉斯	后卫
马蒂亚斯·比尼亚 (Matías Viña)	乌拉圭	28岁	600万	河床	后卫
曼努埃尔·乌加特 (Manuel Ugarte)	乌拉圭	25岁	5000万	曼联	中场
埃米利亚诺·马丁内斯 (Emiliano Martínez)	乌拉圭	26岁	800万	帕尔梅拉斯	中场
罗德里戈·本坦库尔 (Rodrigo Bentancur)	乌拉圭	28岁	3000万	托特纳姆热刺	中场
费德里科·巴尔韦德 (Federico Valverde)	乌拉圭	27岁	1.3亿	皇家马德里	中场
阿古斯丁·卡诺比奥 (Agustín Canobbio)	乌拉圭	27岁	500万	弗鲁米嫩塞	中场
胡安·曼努埃尔·萨纳夫里亚 (Juan Manuel Sanabria)	乌拉圭	25岁	400万	皇家盐湖城	中场
乔治亚·德阿拉斯卡埃塔 (Giorgian de Arrascaeta)	乌拉圭	32岁	800万	弗拉门戈	中场
尼古拉斯·德拉克鲁斯 (Nicolás de la Cruz)	乌拉圭	28岁	800万	弗拉门戈	中场
罗德里戈·萨拉萨尔 (Rodrigo Zalazar)	乌拉圭	26岁	1000万	布拉加	中场
法昆多·佩利斯特里 (Facundo Pellistri)	乌拉圭	24岁	600万	帕纳辛纳科斯	中场
马克西米利亚诺·阿劳霍 (Maximiliano Araújo)	乌拉圭	26岁	1000万	葡萄牙体育	中场
布赖恩·罗德里格斯 (Brian Rodríguez)	乌拉圭	26岁	600万	墨西哥美洲	中场
罗德里戈·阿吉雷 (Rodrigo Aguirre)	乌拉圭	31岁	300万	老虎大学	前锋
费德里科·比尼亚斯 (Federico Viñas)	乌拉圭	27岁	400万	皇家奥维耶多	前锋
达尔文·努涅斯 (Darwin Núñez)	乌拉圭	26岁	6000万	利雅得新月	前锋
迈尼昂 (Mike Maignan)	法国	30岁	3800万	AC米兰	门将
布莱斯·桑巴 (Brice Samba)	法国	32岁	1000万	雷恩	门将
罗宾·里塞 (Robin Risser)	法国	21岁	500万	朗斯	门将
于帕梅卡诺 (Dayot Upamecano)	法国	27岁	7000万	拜仁慕尼黑	后卫
萨利巴 (William Saliba)	法国	25岁	1亿	阿森纳	后卫
科纳特 (Ibrahima Konaté)	法国	27岁	4500万	利物浦	后卫
孔德 (Jules Koundé)	法国	27岁	5500万	巴塞罗那	后卫
卢卡斯·埃尔南德斯 (Lucas Hernández)	法国	30岁	3500万	巴黎圣日耳曼	后卫
特奥·埃尔南德斯 (Theo Hernández)	法国	28岁	6000万	利雅得新月	后卫
迪涅 (Lucas Digne)	法国	32岁	1500万	阿斯顿维拉	后卫
古斯托 (Malo Gusto)	法国	23岁	4000万	切尔西	后卫
