### 墨西哥队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| 前锋 | 马内 (Sadio Mané) | 利雅得胜利 | **127** |
| 前锋 | 伊斯梅拉·萨尔 (Ismaïla Sarr) | 水晶宫 | **82** |
| 前锋 | 伊利曼·恩迪亚耶 (Iliman Ndiaye) | 埃弗顿 | **39** |
| 前锋 | 迪奥 (Assane Diao) | 科莫 | **5** |
| 前锋 | 姆巴耶 (Ibrahim Mbaye) | 巴黎圣日耳曼 | **10** |
| 前锋 | 杰克逊 (Nicolas Jackson) | 拜仁慕尼黑 | **32** |
| 前锋 | 谢里夫·恩迪亚耶 (Cherif Ndiaye) | 萨姆松体育 | **18** |
| 前锋 | 班巴·迪昂 (Bamba Dieng) | 洛里昂 | **22** |
### 🇮🇶 伊拉克队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 贾拉勒·哈桑 (Jalal Hassan, 队长) | 扎乌拉 | **100** |
| 门将 | 法哈德·塔利卜 (Fahad Talib) | 塔拉巴 | **21** |
| 门将 | 艾哈迈德·巴西勒 (Ahmed Basil) | 警察 | **14** |
| 后卫 | 雷宾·苏拉卡 (Rebin Sulaka) | 港口 | **54** |
| 后卫 | 马纳夫·尤尼斯 (Manaf Younis) | 警察 | **32** |
| 后卫 | 梅尔查斯·多斯基 (Merchas Doski) | 比尔森胜利 | **30** |
| 后卫 | 扎伊德·塔赫辛 (Zaid Tahseen) | 棉农 | **26** |
| 后卫 | 弗兰斯·普特罗斯 (Frans Putros) | 佩尔西布 | **26** |
| 后卫 | 侯赛因·阿里 (Hussein Ali) | 什切青波贡 | **25** |
| 后卫 | 艾哈迈德·叶海亚 (Ahmed Yahya) | 警察 | **19** |
| 后卫 | 穆斯塔法·萨阿敦 (Mustafa Saadoon) | 警察 | **15** |
| 后卫 | 阿卡姆·哈希姆 (Akam Hashim) | 扎乌拉 | **12** |
| 中场 | 易卜拉欣·巴耶什 (Ibrahim Bayesh) | 达夫拉 | **74** |
| 中场 | 阿米尔·阿马里 (Amir Al-Ammari) | 克拉科维亚 | **49** |
| 中场 | 阿里·贾西姆 (Ali Jasim) | 纳杰马 | **35** |
| 中场 | 优素福·阿明 (Youssef Amyn) | AEK拉纳卡 | **25** |
| 中场 | 齐达内·伊克巴尔 (Zidane Iqbal) | 乌得勒支 | **23** |
| 中场 | 马尔科·法尔吉 (Marko Farji) | 威尼斯 | **10** |
| 中场 | 凯文·雅各布 (Kevin Yakob) | 奥胡斯 | **7** |
| 中场 | 艾马尔·谢尔 (Aimar Sher) | 萨尔普斯堡08 | **6** |
| 中场 | 扎伊德·伊斯梅尔 (Zaid Ismail) | 塔拉巴 | **5** |
| 中场 | 艾哈迈德·卡西姆 (Ahmed Qasem) | 纳什维尔SC | **1** |
| 前锋 | 艾曼·侯赛因 (Aymen Hussein) | 卡尔马 | **93** |
| 前锋 | 穆哈纳德·阿里 (Mohanad Ali) | 迪巴 | **71** |
| 前锋 | 阿里·哈马迪 (Ali Al-Hamadi) | 卢顿镇 | **18** |
| 前锋 | 阿里·优素福 (Ali Yousif) | 塔拉巴 | **6** |
### 🇳🇴 挪威队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 尼兰德 (Ørjan Nyland) | 塞维利亚 | **69** |
| 门将 | 塞尔维克 (Egil Selvik) | 沃特福德 | **6** |
| 门将 | 唐维克 (Sander Tangvik) | 汉堡 | **0** |
| 后卫 | 雷尔森 (Julian Ryerson) | 多特蒙德 | **41** |
| 后卫 | 阿耶尔 (Kristoffer Ajer) | 布伦特福德 | **50** |
| 后卫 | 厄斯蒂高 (Leo Skiri Østigård) | 热那亚 | **36** |
| 后卫 | 沃尔夫 (David Møller Wolfe) | 狼队 | **20** |
| 后卫 | 彼得森 (Marcus Holmgren Pedersen) | 都灵 | **31** |
| 后卫 | 赫格姆 (Torbjørn Heggem) | 博洛尼亚 | **13** |
| 后卫 | 比约坎 (Fredrik Bjørkan) | 博德闪耀 | **19** |
| 后卫 | 法尔切纳 (Henrik Falchener) | 维京 | **1** |
| 后卫 | 兰加斯 (Sondre Langås) | 德比郡 | **2** |
| 中场 | 厄德高 (Martin Ødegaard, 队长) | 阿森纳 | **67** |
| 中场 | 桑德·博格 (Sander Berge) | 富勒姆 | **64** |
| 中场 | 帕特里克·博格 (Patrick Berg) | 博德闪耀 | **41** |
| 中场 | 索尔茨维特 (Kristian Thorstvedt) | 萨索洛 | **35** |
| 中场 | 托斯比 (Morten Thorsby) | 克雷莫内塞 | **30** |
| 中场 | 奥斯加德 (Thelo Aasgaard) | 流浪者 | **6** |
| 中场 | 谢尔德鲁普 (Andreas Schjelderup) | 本菲卡 | **10** |
| 中场 | 豪格 (Jens Petter Hauge) | 博德闪耀 | **14** |
| 中场 | 奥尔斯内斯 (Fredrik Aursnes) | 本菲卡 | **20** |
| 中场 | 努萨 (Antonio Nusa) | 莱比锡RB | **22** |
| 中场 | 博布 (Oscar Bobb) | 富勒姆 | **18** |
| 前锋 | 哈兰德 (Erling Haaland) | 曼城 | **49** |
| 前锋 | 瑟洛特 (Alexander Sørloth) | 马德里竞技 | **70** |
| 前锋 | 拉尔森 (Jørgen Strand Larsen) | 水晶宫 | **26** |
---
### 🇦🇷 阿根廷队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 埃米利亚诺·马丁内斯 (Emiliano Martínez) | 阿斯顿维拉 | 59 |
| 门将 | 赫罗尼莫·鲁利 (Gerónimo Rulli) | 马赛 | 7 |
| 门将 | 胡安·穆索 (Juan Musso) | 马德里竞技 | 3 |
| 后卫 | 尼古拉斯·奥塔门迪 (Nicolás Otamendi) | 本菲卡 | **130** |
| 后卫 | 尼古拉斯·塔利亚菲科 (Nicolás Tagliafico) | 里昂 | 74 |
| 后卫 | 纳乌埃尔·莫利纳 (Nahuel Molina) | 马德里竞技 | 58 |
| 后卫 | 克里斯蒂安·罗梅罗 (Cristian Romero) | 热刺 | 49 |
| 后卫 | 贡萨洛·蒙铁尔 (Gonzalo Montiel) | 河床 | 38 |
| 后卫 | 利桑德罗·马丁内斯 (Lisandro Martínez) | 曼联 | 26 |
| 后卫 | 莱昂纳多·巴列尔迪 (Leonardo Balerdi) | 马赛 | 11 |
| 后卫 | 法昆多·梅迪纳 (Facundo Medina) | 朗斯 | 7 |
| 中场 | 罗德里戈·德保罗 (Rodrigo De Paul) | 迈阿密国际 | 85 |
| 中场 | 莱安德罗·帕雷德斯 (Leandro Paredes) | 博卡青年 | 77 |
| 中场 | 乔瓦尼·洛塞尔索 (Giovani Lo Celso) | 比利亚雷亚尔 | 65 |
| 中场 | 亚历克西斯·麦卡利斯特 (Alexis Mac Allister) | 利物浦 | 44 |
| 中场 | 恩佐·费尔南德斯 (Enzo Fernández) | 切尔西 | 40 |
| 中场 | 埃塞基耶尔·帕拉西奥斯 (Exequiel Palacios) | 勒沃库森 | 38 |
| 中场 | 蒂亚戈·阿尔马达 (Thiago Almada) | 马德里竞技 | 14 |
| 中场 | 尼科·帕斯 (Nico Paz) | 科莫 | 8 |
| 前锋 | 莱昂内尔·梅西 (Lionel Messi, 队长) | 迈阿密国际 | **198** |
| 前锋 | 劳塔罗·马丁内斯 (Lautaro Martínez) | 国际米兰 | 75 |
| 前锋 | 胡利安·阿尔瓦雷斯 (Julián Álvarez) | 马德里竞技 | 51 |
| 前锋 | 尼古拉斯·冈萨雷斯 (Nicolás González) | 马德里竞技 | 50 |
| 前锋 | 朱利亚诺·西蒙尼 (Giuliano Simeone) | 马德里竞技 | 11 |
| 前锋 | 何塞·曼努埃尔·洛佩斯 (José Manuel López) | 帕尔梅拉斯 | 3 |
| 前锋 | 瓦伦蒂诺·巴尔科 (Valentín Barco) | 布莱顿 | 2 |
### 🇩🇿 阿尔及利亚队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 卢卡·齐达内 (Luca Zidane) | 格拉纳达 | 6 |
| 门将 | 乌萨马·本布特 (Oussama Benbot) | USM阿尔及尔 | 2 |
| 门将 | 梅尔文·马斯蒂尔 (Melvin Mastil) | 尼翁体育场 | 1 |
| 后卫 | 艾萨·曼迪 (Aïssa Mandi) | 里尔 | **116** |
| 后卫 | 拉米·本塞拜尼 (Ramy Bensebaïni) | 多特蒙德 | 81 |
| 后卫 | 穆罕默德·阿明·图盖 (Mohamed Amine Tougai) | 突尼斯希望 | 28 |
| 后卫 | 拉扬·艾特-努里 (Rayan Aït-Nouri) | 曼城 | 27 |
| 后卫 | 贾乌恩·哈贾姆 (Jaouen Hadjam) | 伯尔尼年轻人 | 16 |
| 后卫 | 拉菲克·贝尔加利 (Rafik Belghali) | 维罗纳 | 11 |
| 后卫 | 津内丁·贝莱德 (Zineddine Belaïd) | JS卡比利亚 | 9 |
| 后卫 | 阿什拉夫·阿巴达 (Achref Abada) | USM阿尔及尔 | 6 |
| 后卫 | 萨米尔·谢尔吉 (Samir Chergui) | 巴黎FC | 4 |
| 中场 | 纳比勒·本塔莱布 (Nabil Bentaleb) | 里尔 | 58 |
| 中场 | 拉米兹·泽鲁基 (Ramiz Zerrouki) | 特温特 | 51 |
| 中场 | 希沙姆·布达维 (Hicham Boudaoui) | 尼斯 | 32 |
| 中场 | 法雷斯·沙伊比 (Farès Chaïbi) | 法兰克福 | 28 |
| 中场 | 乌萨马·阿瓦尔 (Houssem Aouar) | 吉达联合 | 19 |
| 中场 | 易卜拉欣·马扎 (Ibrahim Maza) | 勒沃库森 | 15 |
| 中场 | 亚辛·蒂特劳伊 (Yacine Titraoui) | 沙勒罗瓦 | 5 |
| 前锋 | 里亚德·马赫雷斯 (Riyad Mahrez, 队长) | 吉达国民 | **113** |
| 前锋 | 穆罕默德·阿穆拉 (Mohamed Amoura) | 沃尔夫斯堡 | 44 |
| 前锋 | 阿明·古伊里 (Amine Gouiri) | 马赛 | 21 |
| 前锋 | 阿尼斯·哈吉·穆萨 (Anis Hadj Moussa) | 费耶诺德 | 13 |
| 前锋 | 阿迪尔·布勒比纳 (Adil Boulbina) | 杜海勒 | 10 |
| 前锋 | 纳迪尔·本布瓦利 (Nadir Benbouali) | 吉厄尔 | 2 |
| 前锋 | 法雷斯·盖杰米斯 (Farès Ghedjemis) | 弗罗西诺内 | 1 |
### 🇦🇹 奥地利队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 亚历山大·施拉格 (Alexander Schlager) | 萨尔茨堡红牛 | 25 |
| 门将 | 帕特里克·彭茨 (Patrick Pentz) | 布隆德比 | 18 |
| 门将 | 弗洛里安·维格勒 (Florian Wiegele) | 比尔森胜利 | 1 |
| 后卫 | 大卫·阿拉巴 (David Alaba, 队长) | 皇家马德里 | **112** |
| 后卫 | 斯特凡·波施 (Stefan Posch) | 美因茨 | 51 |
| 后卫 | 菲利普·林哈特 (Philipp Lienhart) | 弗赖堡 | 40 |
| 后卫 | 凯文·丹索 (Kevin Danso) | 热刺 | 31 |
| 后卫 | 菲利普·姆韦内 (Phillipp Mwene) | 美因茨 | 29 |
| 后卫 | 亚历山大·普拉斯 (Alexander Prass) | 霍芬海姆 | 18 |
| 后卫 | 马尔科·弗里德尔 (Marco Friedl) | 不莱梅 | 10 |
| 后卫 | 迈克尔·斯沃博达 (Michael Svoboda) | 威尼斯 | 4 |
| 后卫 | 大卫·阿芬格鲁伯 (David Affengruber) | 埃尔切 | 1 |
| 中场 | 马塞尔·萨比策 (Marcel Sabitzer) | 多特蒙德 | 97 |
| 中场 | 弗洛里安·格里利奇 (Florian Grillitsch) | 布拉加 | 58 |
| 中场 | 康拉德·莱默尔 (Konrad Laimer) | 拜仁慕尼黑 | 56 |
| 中场 | 克萨韦尔·施拉格 (Xaver Schlager) | 莱比锡RB | 50 |
| 中场 | 尼古拉斯·赛瓦尔德 (Nicolas Seiwald) | 莱比锡RB | 46 |
| 中场 | 亚历山德罗·舍普夫 (Alessandro Schöpf) | 沃尔夫斯贝格 | 35 |
| 中场 | 罗马诺·施密德 (Romano Schmid) | 不莱梅 | 33 |
| 中场 | 帕特里克·维默 (Patrick Wimmer) | 沃尔夫斯堡 | 30 |
| 中场 | 卡尼·丘库埃梅卡 (Carney Chukwuemeka) | 多特蒙德 | 2 |
| 中场 | 保罗·万纳 (Paul Wanner) | 埃因霍温 | 2 |
| 前锋 | 马尔科·阿瑙托维奇 (Marko Arnautović) | 贝尔格莱德红星 | **132** |
| 前锋 | 米夏埃尔·格雷戈里奇 (Michael Gregoritsch) | 奥格斯堡 | 74 |
| 前锋 | 萨沙·卡拉伊季奇 (Saša Kalajdžić) | LASK林茨 | 21 |
### 🇯🇴 约旦队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 亚齐德·阿布拉伊拉 (Yazeed Abulaila) | 侯赛因 | 75 |
| 门将 | 阿卜杜拉·法胡里 (Abdallah Al-Fakhouri) | 维赫达特 | 11 |
| 门将 | 努尔·巴尼·阿提亚 (Nour Bani Attiah) | 费萨里 | 4 |
| 后卫 | 伊赫桑·哈达德 (Ihsan Haddad, 队长) | 侯赛因 | **91** |
| 后卫 | 亚赞·阿拉伯 (Yazan Al-Arab) | FC首尔 | 79 |
| 后卫 | 阿卜杜拉·纳西卜 (Abdallah Nasib) | 扎乌拉 | 64 |
| 后卫 | 穆罕默德·阿布·哈希什 (Mohammad Abu Hashish) | 卡尔马 | 55 |
| 后卫 | 赛义德·罗桑 (Saed Al-Rosan) | 侯赛因 | 20 |
| 后卫 | 胡萨姆·阿布·达哈卜 (Husam Abu Dahab) | 费萨里 | 17 |
| 后卫 | 穆罕纳德·阿布纳迪 (Mo Abualnadi) | 雪兰莪 | 17 |
| 后卫 | 萨利姆·奥拜德 (Salim Obaid) | 侯赛因 | 10 |
| 后卫 | 阿纳斯·巴达维 (Anas Badawi) | 费萨里 | 1 |
| 中场 | 拉贾伊·阿耶德 (Rajaei Ayed) | 侯赛因 | 72 |
| 中场 | 努尔·拉瓦卜德 (Noor Al-Rawabdeh) | 雪兰莪 | 67 |
| 中场 | 易卜拉欣·萨德 (Ibrahim Sadeh) | 卡尔马 | 56 |
| 中场 | 尼扎尔·拉什丹 (Nizar Al-Rashdan) | 卡塔尔SC | 46 |
| 中场 | 穆罕纳德·阿布·塔哈 (Mohannad Abu Taha) | 巴格达空军 | 28 |
| 中场 | 阿米尔·贾穆斯 (Amer Jamous) | 扎乌拉 | 18 |
| 中场 | 穆罕默德·达乌德 (Mohammad Al-Dawoud) | 维赫达特 | 12 |
| 前锋 | 穆萨·塔马里 (Musa Al-Taamari) | 雷恩 | **91** |
| 前锋 | 马哈茂德·马尔迪 (Mahmoud Al-Mardi) | 侯赛因 | 88 |
| 前锋 | 阿里·乌勒万 (Ali Olwan) | 赛利亚 | 65 |
| 前锋 | 穆罕默德·阿布·兹赖克 (Mohammad Abu Zrayq) | 卡萨布兰卡拉贾 | 40 |
| 前锋 | 奥德·法胡里 (Odeh Al-Fakhouri) | 金字塔 | 9 |
| 前锋 | 易卜拉欣·萨卜拉 (Ibrahim Sabra) | 萨格勒布火车头 | 9 |
| 前锋 | 阿里·阿扎伊泽 (Ali Azaizeh) | 沙巴布 | 3 |
---
### 🇵🇹 葡萄牙队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 迪奥戈·科斯塔 (Diogo Costa) | 波尔图 | **42** |
| 门将 | 若泽·萨 (José Sá) | 狼队 | **4** |
| 门将 | 鲁伊·席尔瓦 (Rui Silva) | 葡萄牙体育 | **2** |
| 门将 | 里卡多·韦略 (Ricardo Velho) | 安卡拉青年联盟 | 数据待核实 |
| 后卫 | 达洛特 (Diogo Dalot) | 曼联 | **33** |
| 后卫 | 马特乌斯·努内斯 (Matheus Nunes) | 曼城 | **19** |
| 后卫 | 塞梅多 (Nélson Semedo) | 费内巴切 | **48** |
| 后卫 | 坎塞洛 (João Cancelo) | 巴塞罗那 | **66** |
| 后卫 | 努诺·门德斯 (Nuno Mendes) | 巴黎圣日耳曼 | **43** |
| 后卫 | 伊纳西奥 (Gonçalo Inácio) | 葡萄牙体育 | **24** |
| 后卫 | 韦加 (Renato Veiga) | 比利亚雷亚尔 | **11** |
| 后卫 | 鲁本·迪亚斯 (Rúben Dias) | 曼城 | **74** |
| 后卫 | 托马斯·阿劳霍 (Tomás Araújo) | 本菲卡 | **3** |
| 中场 | 鲁本·内维斯 (Rúben Neves) | 利雅得新月 | **65** |
| 中场 | 萨穆·科斯塔 (Samú Costa) | 马略卡 | **4** |
| 中场 | 若昂·内维斯 (João Neves) | 巴黎圣日耳曼 | **21** |
| 中场 | 维蒂尼亚 (Vitinha) | 巴黎圣日耳曼 | **37** |
| 中场 | 布鲁诺·费尔南德斯 (Bruno Fernandes) | 曼联 | **87** |
| 中场 | 贝尔纳多·席尔瓦 (Bernardo Silva) | 曼城 | **107** |
| 前锋 | 菲利克斯 (João Félix) | 利雅得胜利 | 数据待核实 |
| 前锋 | 特林康 (Francisco Trincão) | 葡萄牙体育 | 数据待核实 |
| 前锋 | 孔塞桑 (Francisco Conceição) | 尤文图斯 | **15** |
| 前锋 | 佩德罗·内托 (Pedro Neto) | 切尔西 | 数据待核实 |
| 前锋 | 莱奥 (Rafael Leão) | AC米兰 | 数据待核实 |
| 前锋 | 格德斯 (Gonçalo Guedes) | 皇家社会 | 数据待核实 |
| 前锋 | 贡萨洛·拉莫斯 (Gonçalo Ramos) | 巴黎圣日耳曼 | 数据待核实 |
| 前锋 | C罗 (Cristiano Ronaldo, 队长) | 利雅得胜利 | **228** |
### 🇨🇩 民主刚果队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 莱昂内尔·姆帕西 (Lionel Mpasi) | 勒阿弗尔 | **27** |
| 门将 | 蒂莫西·法尤卢 (Timothy Fayulu) | 诺亚 | **3** |
| 门将 | 马蒂厄·埃波洛 (Matthieu Epolo) | 标准列日 | **1** |
| 后卫 | 钱塞尔·姆本巴 (Chancel Mbemba, 队长) | 里尔 | **107** |
| 后卫 | 阿瑟·马苏亚库 (Arthur Masuaku) | 朗斯 | **44** |
| 后卫 | 热代翁·卡卢卢 (Gédéon Kalulu) | 阿里斯利马索尔 | **27** |
| 后卫 | 若里斯·卡延贝 (Joris Kayembe) | 亨克 | **24** |
| 后卫 | 迪伦·巴图宾西卡 (Dylan Batubinsika) | 拉里萨 | **14** |
| 后卫 | 阿克塞尔·图安泽贝 (Axel Tuanzebe) | 伯恩利 | **12** |
| 后卫 | 万-比萨卡 (Aaron Wan-Bissaka) | 西汉姆联 | **10** |
| 后卫 | 史蒂夫·卡普阿迪 (Steve Kapuadi) | 罗兹维泽夫 | **3** |
| 中场 | 梅沙克·埃利亚 (Meschack Elia) | 阿拉尼亚体育 | **68** |
| 中场 | 萨穆埃尔·穆图萨米 (Samuel Moutoussamy) | 阿特罗米托斯 | **56** |
| 中场 | 埃多·卡延贝 (Edo Kayembe) | 沃特福德 | **41** |
| 中场 | 特奥·邦贡达 (Théo Bongonda) | 莫斯科斯巴达克 | **37** |
| 中场 | 夏尔·皮克尔 (Charles Pickel) | 西班牙人 | **33** |
| 中场 | 加埃尔·卡库塔 (Gaël Kakuta) | 拉里萨 | **30** |
| 中场 | 诺亚·萨迪基 (Noah Sadiki) | 桑德兰 | **18** |
| 中场 | 纳塔纳埃尔·姆布库 (Nathanaël Mbuku) | 蒙彼利埃 | **17** |
| 中场 | 阿隆·齐博拉 (Aaron Tshibola) | 基尔马诺克 | **16** |
| 中场 | 恩加莱尔·穆考 (Ngal’ayel Mukau) | 里尔 | **12** |
| 中场 | 布赖恩·西蓬加 (Brian Cipenga) | 卡斯特利翁 | **7** |
| 前锋 | 塞德里克·巴坎布 (Cédric Bakambu) | 皇家贝蒂斯 | **68** |
| 前锋 | 菲斯顿·马耶莱 (Fiston Mayele) | 金字塔 | **37** |
| 前锋 | 约安·维萨 (Yoane Wissa) | 纽卡斯尔联 | **36** |
| 前锋 | 西蒙·班扎 (Simon Banza) | 阿布扎比半岛 | **14** |
### 🇺🇿 乌兹别克斯坦队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 乌特基尔·尤苏波夫 (Utkir Yusupov) | 纳曼干新春 | **39** |
| 门将 | 阿卜杜沃希德·内马托夫 (Abduvohid Nematov) | 纳萨夫 | **7** |
| 门将 | 博蒂拉利·埃尔加舍夫 (Botirali Ergashev) | 费尔干纳油工 | **2** |
| 后卫 | 阿卜杜科迪尔·胡桑诺夫 (Abdukodir Khusanov) | 曼城 | **25** |
| 后卫 | 扎洪吉尔·乌罗佐夫 (Jakhongir Urozov) | 萨马尔罕迪那摩 | **2** |
| 后卫 | 阿瓦兹别克·乌尔马萨利耶夫 (Avazbek Ulmasaliev) | 阿尔马雷克 | **0** |
| 后卫 | 法鲁赫·萨菲耶夫 (Farrukh Sayfiev) | 费尔干纳油工 | **44** |
| 后卫 | 谢尔佐德·纳斯鲁拉耶夫 (Sherzod Nasrullaev) | 纳萨夫 | **29** |
| 后卫 | 别克鲁兹·卡里莫夫 (Bekhruz Karimov) | 特尔梅兹 | **2** |
| 后卫 | 乌马尔·埃什穆罗多夫 (Umar Eshmurodov) | 纳萨夫 | **29** |
| 后卫 | 拉斯塔姆·阿舒马托夫 (Rustam Ashurmatov) | 德黑兰独立 | **47** |
| 后卫 | 霍贾克巴尔·阿里扎诺夫 (Khojiakbar Alijonov) | 塔什干棉农 | **40** |
| 后卫 | 阿卜杜拉·阿卜杜拉耶夫 (Abdulla Abdullaev) | 迪巴SCC | **16** |
| 中场 | 奥塔别克·舒库罗夫 (Otabek Shukurov) | 班尼亚斯 | **82** |
| 中场 | 阿克马尔·莫兹戈沃伊 (Akmal Mozgovoy) | 纳萨夫 | **23** |
| 中场 | 贾姆希德·伊斯坎德罗夫 (Jamshid Iskanderov) | 费尔干纳油工 | **37** |
| 中场 | 奥迪尔容·哈姆罗别科夫 (Odiljon Hamrobekov) | 大不里士拖拉机 | **71** |
| 中场 | 阿齐兹别克·加尼耶夫 (Azizjon Ganiev) | 巴塔 | **18** |
| 中场 | 谢尔佐德·埃萨诺夫 (Sherzod Esanov) | 布哈拉 | **0** |
| 中场 | 贾洛利丁·马沙里波夫 (Jaloliddin Masharipov) | 德黑兰独立 | **74** |
| 中场 | 阿博斯别克·法伊祖拉耶夫 (Abbosbek Fayzullaev) | 伊斯坦布尔 | **30** |
| 中场 | 多斯通贝克·哈姆达莫夫 (Dostonbek Khamdamov) | 塔什干棉农 | **33** |
| 前锋 | 奥斯通·乌鲁诺夫 (Oston Urunov) | 波斯波利斯 | **40** |
| 前锋 | 埃尔多尔·肖穆罗多夫 (Eldor Shomurodov, 队长) | 伊斯坦布尔 | **90** |
| 前锋 | 伊戈尔·谢尔盖耶夫 (Igor Sergeev) | 波斯波利斯 | **81** |
| 前锋 | 阿齐兹别克·阿莫诺夫 (Azizbek Amonov) | 萨马尔罕迪那摩 | 数据待核实 |
### 🇨🇴 哥伦比亚队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 戴维·奥斯皮纳 (David Ospina) | 国民竞技 | **129** |
| 门将 | 卡米洛·巴尔加斯 (Camilo Vargas) | 阿特拉斯 | **40** |
| 门将 | 阿尔瓦罗·蒙特罗 (Álvaro Montero) | 米洛纳里奥斯 | **11** |
| 后卫 | 达文森·桑切斯 (Dávinson Sánchez) | 加拉塔萨雷 | **77** |
| 后卫 | 圣地亚哥·阿里亚斯 (Santiago Arias) | 独立 | **63** |
| 后卫 | 耶里·米纳 (Yerry Mina) | 卡利亚里 | **52** |
| 后卫 | 丹尼尔·穆尼奥斯 (Daniel Muñoz) | 水晶宫 | **44** |
| 后卫 | 约翰·莫西卡 (Johan Mojica) | 马略卡 | **43** |
| 后卫 | 洪·卢库米 (Jhon Lucumí) | 博洛尼亚 | **35** |
| 后卫 | 德伊韦尔·马查多 (Deiver Machado) | 南特 | **14** |
| 后卫 | 威勒尔·迪塔 (Willer Ditta) | 蓝十字 | **3** |
| 中场 | 哈梅斯·罗德里格斯 (James Rodríguez, 队长) | 明尼苏达联 | **124** |
| 中场 | 杰弗森·莱尔马 (Jefferson Lerma) | 水晶宫 | **64** |
| 中场 | 理查德·里奥斯 (Richard Ríos) | 本菲卡 | 数据待核实 |
| 中场 | 胡安·费尔南多·金特罗 (Juan Fernando Quintero) | 河床 | **47** |
| 中场 | 约翰·阿里亚斯 (Jhon Arias) | 帕尔梅拉斯 | **36** |
| 中场 | 凯文·卡斯塔尼奥 (Kevin Castaño) | 河床 | **24** |
| 中场 | 豪尔赫·卡拉斯卡尔 (Jorge Carrascal) | 弗拉门戈 | **22** |
| 中场 | 贾明顿·坎帕斯 (Jaminton Campaz) | 罗萨里奥中央 | **9** |
| 中场 | 胡安·卡米洛·波尔蒂利亚 (Juan Camilo Portilla) | 巴拉纳竞技 | **8** |
| 中场 | 古斯塔沃·普埃尔塔 (Gustavo Puerta) | 桑坦德竞技 | **4** |
| 前锋 | 路易斯·迪亚斯 (Luis Díaz) | 拜仁慕尼黑 | **75** |
| 前锋 | 洪·科尔多瓦 (Jhon Córdoba) | 克拉斯诺达尔 | 数据待核实 |
| 前锋 | 路易斯·苏亚雷斯 (Luis Suárez) | 葡萄牙体育 | 数据待核实 |
| 前锋 | 胡安·卡米洛·埃尔南德斯 (Juan Camilo Hernández) | 贝蒂斯 | 数据待核实 |
| 前锋 | 卡洛斯·安德烈斯·戈麦斯 (Carlos Andrés Gómez) | 瓦斯科达伽马 | 数据待核实 |
---
### 🏴󠁧󠁢󠁥󠁮󠁧󠁿 英格兰队
| 位置 | 球员 | 俱乐部 | 国家队出场次数 |
| :--- | :--- | :--- | :--- |
| 门将 | 乔丹·皮克福德 (Jordan Pickford) | 埃弗顿 | **82** |
| 门将 | 迪恩·亨德森 (Dean Henderson) | 水晶宫 | **4** |
| 门将 | 詹姆斯·特拉福德 (James Trafford) | 曼城 | **1** |
| 后卫 | 约翰·斯通斯 (John Stones) | 曼城 | **87** |
| 后卫 | 马克·格伊 (Marc Guéhi) | 曼城 | **27** |
| 后卫 | 埃兹里·孔萨 (Ezri Konsa) | 阿斯顿维拉 | **18** |
| 后卫 | 尼科·奥赖利 (Nico O'Reilly) | 曼城 | **3** |
| 后卫 | 蒂诺·利夫拉门托 (Tino Livramento) | 纽卡斯尔联 | **5** |
| 后卫 | 丹·伯恩 (Dan Burn) | 纽卡斯尔联 | **6** |
| 后卫 | 里斯·詹姆斯 (Reece James) | 切尔西 | **22** |
| 后卫 | 杰德·斯彭斯 (Djed Spence) | 托特纳姆热刺 | **4** |
| 后卫 | 贾雷尔·夸安萨 (Jarell Quansah) | 勒沃库森 | **1** |
| 中场 | 德克兰·赖斯 (Declan Rice) | 阿森纳 | **72** |
| 中场 | 裘德·贝林厄姆 (Jude Bellingham) | 皇家马德里 | **46** |
| 中场 | 乔丹·亨德森 (Jordan Henderson) | 布伦特福德 | **89** |
| 中场 | 科比·梅努 (Kobbie Mainoo) | 曼联 | **12** |
| 中场 | 摩根·罗杰斯 (Morgan Rogers) | 阿斯顿维拉 | **13** |
| 中场 | 埃贝雷基·埃泽 (Eberechi Eze) | 阿森纳 | **16** |
| 中场 | 埃利奥特·安德森 (Elliot Anderson) | 诺丁汉森林 | **7** |
| 前锋 | 哈里·凯恩 (Harry Kane, 队长) | 拜仁慕尼黑 | **112** |
